"","STATE","DATE","POPULATION","NEWCONFIRMED","CUMCONFIRMED","NEWDEATHS","CUMDEATHS","UID","CODE3","SQMI","EVENT_CATG_S","SCORE","SHORT_DESCRIPT","RESTRICTIONS","PHASED_REOPENING","COUNTYLEVEL","FACECOVER_RQD","STUSAB","LATITUDE","LONGITUDE","STATEFP","GNISID","NEWCD_NORM_500","NEWDEATHS_NORM500","REGION"
"11833","MISSOURI",2021-03-18,6191231,715,573559,6,8708,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.7742959356548,0.048455630229271,4
"11834","MISSOURI",2021-03-19,6191231,642,574201,1,8709,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.184752434532,0.00807593837154517,4
"11835","MISSOURI",2021-03-20,6191231,646,574847,4,8713,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.21705618801818,0.0323037534861807,4
"11836","MISSOURI",2021-03-21,6191231,406,575253,5,8718,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,3.27883097884734,0.0403796918577259,4
"11837","MISSOURI",2021-03-22,6191231,309,575562,1,8719,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,2.49546495680746,0.00807593837154517,4
"11838","MISSOURI",2021-03-23,6191231,509,576071,54,8773,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,4.11065263111649,0.436100672063439,4
"11839","MISSOURI",2021-03-24,6191231,843,576914,12,8785,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,6.80801604721258,0.0969112604585421,4
"11840","MISSOURI",2021-03-25,6191231,1234,578148,3,8788,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,9.96570795048675,0.0242278151146355,4
"11841","MISSOURI",2021-03-26,6191231,910,579058,4,8792,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,7.34910391810611,0.0323037534861807,4
"11842","MISSOURI",2021-03-27,6191231,596,579654,4,8796,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,4.81325926944092,0.0323037534861807,4
"11843","MISSOURI",2021-03-28,6191231,426,580080,0,8796,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,3.44034974627824,0,4
"11844","MISSOURI",2021-03-29,6191231,337,580417,1,8797,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,2.72159123121072,0.00807593837154517,4
"11845","MISSOURI",2021-03-30,6191231,563,580980,51,8848,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,4.54675330317993,0.411872856948804,4
"11846","MISSOURI",2021-03-31,6191231,700,581680,5,8853,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.65315686008162,0.0403796918577259,4
"11847","MISSOURI",2021-04-01,6191231,700,582380,6,8859,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.65315686008162,0.048455630229271,4
"11848","MISSOURI",2021-04-02,6191231,751,583131,2,8861,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,6.06502971703043,0.0161518767430903,4
"11849","MISSOURI",2021-04-03,6191231,560,583691,5,8866,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,4.5225254880653,0.0403796918577259,4
"11850","MISSOURI",2021-04-04,6191231,537,584228,0,8866,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,4.33677890551976,0,4
"11851","MISSOURI",2021-04-05,6191231,327,584555,1,8867,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,2.64083184749527,0.00807593837154517,4
"11852","MISSOURI",2021-04-06,6191231,576,585131,9,8876,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,4.65174050201002,0.0726834453439066,4
"11853","MISSOURI",2021-04-07,6191231,775,585906,2,8878,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,6.25885223794751,0.0161518767430903,4
"11854","MISSOURI",2021-04-08,6191231,792,586698,1,8879,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,6.39614319026378,0.00807593837154517,4
"11855","MISSOURI",2021-04-09,6191231,778,587476,-1,8878,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,6.28308005306215,-0.00807593837154517,4
"11856","MISSOURI",2021-04-10,6191231,670,588146,6,8884,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.41087870893527,0.048455630229271,4
"11857","MISSOURI",2021-04-11,6191231,480,588626,1,8885,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,3.87645041834168,0.00807593837154517,4
"11858","MISSOURI",2021-04-12,6191231,336,588962,2,8887,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,2.71351529283918,0.0161518767430903,4
"11859","MISSOURI",2021-04-13,6191231,664,589626,83,8970,9915588598,99120,NA,NA,"0",NA,NA,NA,NA,NA,"MO",38.456085,-92.288368,29,1779791,5.362423078706,0.670302884838249,4
"11860","MONTANA",2020-01-22,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11861","MONTANA",2020-01-23,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11862","MONTANA",2020-01-24,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11863","MONTANA",2020-01-25,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11864","MONTANA",2020-01-26,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11865","MONTANA",2020-01-27,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11866","MONTANA",2020-01-28,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11867","MONTANA",2020-01-29,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11868","MONTANA",2020-01-30,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11869","MONTANA",2020-01-31,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11870","MONTANA",2020-02-01,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11871","MONTANA",2020-02-02,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11872","MONTANA",2020-02-03,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11873","MONTANA",2020-02-04,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11874","MONTANA",2020-02-05,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11875","MONTANA",2020-02-06,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11876","MONTANA",2020-02-07,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11877","MONTANA",2020-02-08,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
"11878","MONTANA",2020-02-09,1059459,0,0,0,0,4873853196,48720,NA,NA,"0",NA,NA,NA,NA,NA,"MT",46.921925,-110.454353,30,767982,0,0,6
